Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.2044,16.01,0.23478,35451,508.679
6,12,1.2044,16.01,0.24682,36757.5,517.968
6,12,1.2044,16.01,0.25886,36523.9,516.32
6,12,1.2044,16.01,0.2709,36487.4,516.062
6,12,1.2044,16.01,0.28294,35764.8,510.926
6,12,1.2044,16.01,0.29498,37772,525.068
6,12,1.2044,16.01,0.30702,38334.1,528.96
6,12,1.2044,16.01,0.31906,40034.7,540.566
6,12,1.2044,16.01,0.3311,42895.9,559.549
6,12,1.2044,16.01,0.34314,44779,571.699
6,12,1.2044,16.01,0.35518,47479.6,588.686
6,12,1.2044,16.01,0.36722,48873.7,597.266
6,12,1.2044,16.01,0.37926,48684,596.105
6,12,1.2044,16.01,0.3913,49165.7,599.047
6,12,1.2044,16.01,0.40334,48647.5,595.882
6,12,1.2044,16.01,0.41538,46034.5,579.658
6,12,1.2044,16.01,0.42742,44414.1,569.365
6,12,1.2044,16.01,0.43946,42749.9,558.596
6,12,1.2044,16.01,0.4515,40910.6,546.447
6,12,1.2044,16.01,0.46354,37998.3,526.638
6,12,1.2044,16.01,0.47558,36232,514.252
6,12,1.2044,16.01,0.48762,33830.6,496.918
6,12,1.2044,16.01,0.49966,31516.9,479.625
6,12,1.2044,16.01,0.5117,29385.6,463.124
6,12,1.2044,16.01,0.52374,27575.4,448.633
6,12,1.2044,16.01,0.53578,26071.8,436.23
6,12,1.2044,16.01,0.54782,25101.1,428.032
6,12,1.2044,16.01,0.55986,22889.5,408.741
6,12,1.2044,16.01,0.5719,22429.7,404.615
6,12,1.2044,16.01,0.58394,20889.6,390.477
6,12,1.2044,16.01,0.59598,20313,385.05
6,12,1.2044,16.01,0.60802,19619.6,378.421
6,12,1.2044,16.01,0.62006,19145.1,373.817
6,12,1.2044,16.01,0.6321,18656.1,369.012
6,12,1.2044,16.01,0.64414,18721.8,369.661
6,12,1.2044,16.01,0.65618,18174.4,364.217
6,12,1.2044,16.01,0.66822,17736.4,359.802
6,12,1.2044,16.01,0.68026,17670.7,359.135
6,12,1.2044,16.01,0.6923,17561.3,358.021
6,12,1.2044,16.01,0.70434,17590.5,358.318
6,12,1.2044,16.01,0.71638,17568.6,358.095
6,12,1.2044,16.01,0.72842,17590.5,358.318
6,12,1.2044,16.01,0.74046,18583.1,368.29
6,12,1.2044,16.01,0.7525,18889.7,371.315
6,12,1.2044,16.01,0.76454,18678,369.229
6,12,1.2044,16.01,0.77658,19152.4,373.888
6,12,1.2044,16.01,0.78862,19575.8,377.998
6,12,1.2044,16.01,0.80066,19415.2,376.445
6,12,1.2044,16.01,0.8127,18159.8,364.07
6,12,1.2044,16.01,0.82474,18772.9,370.165
6,12,1.2044,16.01,0.83678,18721.8,369.661
6,12,1.2044,16.01,0.84882,18240.1,364.874
6,12,1.2044,16.01,0.86086,17634.3,358.764
