bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
1,0.148,0.03937718,0.02367414,,,0.040284371,
1,0.148,0.03956371,0.025424856,,,0.04047023,
1,0.148,0.03956425,0.024077952,,,0.040470768,
2,0.167,0.014356,0.0190224,0.014356,0.0063252,0.01559262,0.01559262
2,0.167,0.014439,0.0187272,0.014457,0.0072396,0.015675504,0.015693479
2,0.167,0.014609,0.0176508,0.014627,0.0086724,0.015845264,0.015863239
2,0.167,0.01481,0.0194076,0.014719,0.0110268,0.016045978,0.015955108
2,0.167,0.014988,0.0208692,0.014804,0.01341,0.016223722,0.016039987
2,0.167,0.015107,0.023544,0.01492,0.0161712,0.016342548,0.01615582
2,0.167,0.015204,0.0259632,0.015066,0.0192672,0.016439406,0.016301608
2,0.167,0.015313,0.0279396,0.015234,0.0196452,0.016548246,0.016469362
2,0.167,0.015441,0.0296496,0.015334,0.0177156,0.016676056,0.016569215
2,0.167,0.01559,0.0321588,0.015437,0.0142308,0.016824833,0.016672062
2,0.167,0.015687,0.0362016,0.015537,0.0114876,0.016921687,0.016771912
2,0.167,0.015757,0.0391032,0.01566,0.0102168,0.016991581,0.016894728
2,0.167,0.015789,0.0414612,0.015822,0.0131688,0.017023532,0.017056482
2,0.167,0.015863,0.044568,0.015946,0.0167328,0.017097419,0.017180292
2,0.167,0.015922,0.0471312,0.016076,0.0199476,0.017156329,0.017310092
2,0.167,0.015987,0.0496584,0.016269,0.0212652,0.017221229,0.017502792
2,0.167,0.016176,0.0477216,0.016319,0.0195768,0.017409937,0.017552714
2,0.167,0.016225,0.0451368,0.016447,0.0161064,0.017458861,0.017680512
2,0.167,0.016274,0.0417744,0.016494,0.0137016,0.017507784,0.017727438
2,0.167,0.016319,0.0397368,0.016609,0.0100728,0.017552714,0.017842255
2,0.167,0.016394,0.0348696,0.016773,0.008658,0.017627596,0.018005993
2,0.167,0.016423,0.0323748,0.016934,0.0087696,0.01765655,0.018166733
2,0.167,0.016453,0.0301248,0.017095,0.0094824,0.017686503,0.01832747
2,0.167,0.016482,0.027846,0.017265,0.0102636,0.017715457,0.018497191
2,0.167,0.01656,0.0206856,0.017435,0.0114192,0.017793333,0.018666909
2,0.167,0.01664,0.0204048,0.017604,0.0124164,0.017873206,0.018835625
2,0.167,0.016803,0.0195156,0.017774,0.0136728,0.018035944,0.019005338
2,0.167,0.016995,0.019692,0.017944,0.01512,0.018227633,0.019175048
