Z A E0 ThetaDeg nu cross error dataSet
 20  40  0.2400  60.000  0.0525  1.399e+05  6.000e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0575  1.321e+05  5.225e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0625  1.170e+05  4.933e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0675  1.073e+05  4.776e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0725  8.931e+04  4.334e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0775  7.768e+04  4.102e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0825  6.539e+04  3.855e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0875  5.732e+04  3.761e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0925  4.306e+04  3.429e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.0975  3.282e+04  3.496e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.1025  2.718e+04  3.598e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.1075  2.244e+04  3.799e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.1125  2.034e+04  4.190e+03 Meziani:1984is 
 20  40  0.2400  60.000  0.1175  1.384e+04  4.534e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0075  5.891e+03  1.986e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0125  8.400e+03  2.621e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0175  1.200e+04  4.147e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0225  1.377e+04  4.775e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0275  1.490e+04  5.244e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0325  1.681e+04  5.967e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0375  1.918e+04  6.846e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0425  2.130e+04  7.676e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0475  2.462e+04  8.901e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0525  2.611e+04  9.603e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0575  2.588e+04  9.505e+02 Meziani:1984is 
 20  40  0.2400  90.000  0.0625  2.617e+04  1.033e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0675  2.752e+04  1.105e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0725  2.706e+04  1.119e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0775  2.780e+04  1.175e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0825  2.602e+04  1.144e+03 Meziani:1984is 
 20  40  0.2400  90.000  0.0875  2.576e+04  1.164e+03 Meziani:1984is 
