Z,A,E0,ThetaDeg,nu,cross,error,dataSet,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.2203,140.0,0.06558,10979.3152,392.1698436,Altemus:1973,12366.431999999999,7941.439999999999,25.323999999999998,4367.843999999999,31.876000000000005,12334.556,0.8878320925550717
26,56,0.2203,140.0,0.07583,11711.1344,419.9225736,Altemus:1973,13756.443999999996,8877.907999999998,40.611999999999995,4836.156,1.768,13754.676,0.8513198905182185
26,56,0.2203,140.0,0.08609,12537.2184,450.8708192,Altemus:1973,13934.596000000001,9126.0,76.648,4732.0,0.0,13934.596000000001,0.8997188293080042
26,56,0.2203,140.0,0.09637,12842.312,468.12961,Altemus:1973,12833.132,8609.588,108.732,4114.863999999999,0.0,12833.132,1.0007153358977372
26,56,0.2203,140.0,0.10662,11158.7224,430.3336426,Altemus:1973,10863.527999999998,7480.148,177.892,3205.4879999999994,0.0,10863.527999999998,1.0271729773237572
26,56,0.2203,140.0,0.1169,9848.74576,346.9040196,Altemus:1973,8584.628,6040.215999999999,274.768,2269.644,0.0,8584.628,1.1472536445376549
26,56,0.2251,160.0,0.00635,680.202504,25.978,Altemus:1973,0.0,0.0,0.0,0.0,0.0,0.0,0
26,56,0.2251,160.0,0.01097,659.304999,25.952,Altemus:1973,8.787999999999997,0.0,0.0,0.0,8.787999999999997,0.0,75.02332715066001
26,56,0.2251,160.0,0.02267,1957.77576,53.615,Altemus:1973,290.888,0.0,0.0,0.0,290.888,0.0,6.730342124804049
26,56,0.2251,160.0,0.03319,3230.04114,71.399,Altemus:1973,2283.944,1512.628,1.664,706.628,63.024,2220.9199999999996,1.4142383263337455
26,56,0.2251,160.0,0.04374,4481.0028,87.186,Altemus:1973,4261.504,2758.08,6.811999999999999,1477.944,18.668,4242.887999999999,1.0515073551497311
26,56,0.2251,160.0,0.05431,5877.29916,103.37,Altemus:1973,6544.875999999999,4080.4399999999996,13.987999999999998,2426.1639999999998,24.231999999999996,6520.644,0.8980000782291369
26,56,0.2251,160.0,0.06486,6951.78297,116.73,Altemus:1973,8693.256,5301.451999999998,24.336,3360.3439999999996,7.123999999999998,8686.132,0.7996754001032526
26,56,0.2251,160.0,0.07545,8057.04885,130.5,Altemus:1973,10360.219999999998,6269.276,38.324,4052.152,0.468,10359.751999999999,0.7776909032819769
26,56,0.2251,160.0,0.08605,8826.32979,142.8,Altemus:1973,11177.296,6820.371999999999,57.044000000000004,4299.879999999999,0.0,11177.296,0.7896659254617574
26,56,0.2251,160.0,0.09665,9012.01518,151.53,Altemus:1973,10929.931999999999,6814.339999999999,83.40799999999999,4032.1319999999996,0.0,10929.879999999997,0.8245261891839767
26,56,0.2251,160.0,0.10725,8781.01425,157.79,Altemus:1973,9727.171999999999,6237.036,139.25599999999997,3350.8799999999997,0.0,9727.171999999999,0.9027304390217425
26,56,0.2251,160.0,0.11744,7892.12556,158.94,Altemus:1973,8015.124,5298.02,195.15599999999995,2521.8959999999997,0.0,8015.124,0.9846542062231353
26,56,0.2251,160.0,0.12871,6460.98498,155.79,Altemus:1973,6099.235999999999,4095.519999999999,327.756,1675.96,0.0,6099.235999999999,1.0593105398774536
26,56,0.2251,160.0,0.1393,5474.96577,154.96,Altemus:1973,4603.715999999999,3017.6119999999996,480.47999999999996,1105.676,0.0,4603.715999999999,1.1892492434372581
26,56,0.2251,160.0,0.14988,4672.28493,159.43,Altemus:1973,3586.4919999999997,2093.8839999999996,725.0879999999999,767.52,0.0,3586.4919999999997,1.30274511416727
26,56,0.2251,160.0,0.16033,4330.70325,173.3,Altemus:1973,2968.576,1358.3439999999998,1024.3999999999999,585.832,0.0,2968.576,1.45884870389035
26,56,0.2497,90.0,0.00557,5664.50185,175.412735,Altemus:1973,88.036,0.0,0.0,0.0,88.036,0.0,64.34301706120223
26,56,0.2497,90.0,0.00846,8305.75235,259.5993176,Altemus:1973,9949.524000000001,0.0,0.0,0.0,9949.524000000001,0.0,0.8347889155300293
26,56,0.2497,90.0,0.01298,11250.785,359.9238624,Altemus:1973,7184.476,0.0,0.0,0.0,7184.476,0.0,1.5659854664418116
26,56,0.2497,90.0,0.0232,16698.7065,523.6934162,Altemus:1973,12927.096000000001,1728.9999999999998,0.0,416.572,10781.524,2145.5719999999997,1.2917600751166387
26,56,0.2497,90.0,0.03343,21914.382,680.1717062,Altemus:1973,16520.192,11706.707999999999,3.536,2950.7399999999993,1859.2079999999999,14661.035999999998,1.3265210234844729
26,56,0.2497,90.0,0.04366,26790.4525,826.5740453,Altemus:1973,25911.235999999997,18172.179999999997,13.104,5062.772,2663.1799999999994,23248.055999999997,1.033931862609719
26,56,0.2497,90.0,0.05391,32057.6165,984.5534516,Altemus:1973,31974.072000000004,23191.115999999998,25.168,6802.744,1955.0439999999999,30019.028000000002,1.0026128827132184
26,56,0.2497,90.0,0.06417,33907.916,1041.996154,Altemus:1973,34445.164,26275.235999999997,42.328,7729.383999999999,398.268,34046.948,0.9844028032498263
26,56,0.2497,90.0,0.07442,36256.668,1114.140793,Altemus:1973,34854.03999999999,27065.063999999995,84.656,7684.56,19.76,34834.28,1.0402429101475756
26,56,0.2497,90.0,0.08469,36179.983,1115.095255,Altemus:1973,32498.595999999994,25564.136,124.072,6810.128,0.208,32498.336,1.1132783397781247
26,56,0.2497,90.0,0.09492,34420.61,1143.242503,Altemus:1973,28040.168,22365.772,212.41999999999996,5461.976000000001,0.0,28040.168,1.2275464968683496
26,56,0.2497,90.0,0.10521,26609.695,871.4339958,Altemus:1973,22719.059999999998,18353.347999999998,342.36799999999994,4023.3439999999996,0.0,22719.059999999998,1.1712498228359802
26,56,0.2497,90.0,0.12109,18848.0775,715.4592538,Altemus:1973,15263.403999999997,12341.003999999999,642.0439999999999,2280.304,0.0,15263.403999999997,1.234854132145097
26,56,0.2497,90.0,0.13085,15502.4205,571.7102787,Altemus:1973,11818.56,9265.516000000001,934.856,1618.1879999999999,0.0,11818.56,1.3117012986353669
26,56,0.2498,140.0,0.01091,497.532488,22.44027358,Altemus:1973,2.496,0.0,0.0,0.0,2.496,0.0,199.33192628205128
26,56,0.2498,140.0,0.02659,2146.2146,64.0756934,Altemus:1973,1664.936,160.212,0.0,67.80799999999999,1436.8639999999998,228.01999999999998,1.2890673275128892
26,56,0.2498,140.0,0.04232,3937.5992,106.1628155,Altemus:1973,2984.2279999999996,1950.5720000000001,4.316,992.1079999999998,37.23199999999999,2947.048,1.3194699600700752
26,56,0.2498,140.0,0.05809,5824.88928,150.0397731,Altemus:1973,5906.16,3670.2119999999995,11.908,2169.8559999999998,54.184000000000005,5851.975999999999,0.9862396684139949
26,56,0.2498,140.0,0.07389,7766.7218,202.9095546,Altemus:1973,8780.148,5331.144,24.387999999999998,3421.912,2.756,8777.392,0.8845775492622676
26,56,0.2498,140.0,0.08974,9476.08998,244.2472223,Altemus:1973,10689.692,6476.028,54.912,4158.7519999999995,0.0,10689.692,0.8864698795811892
26,56,0.2498,140.0,0.10028,9558.20778,249.0301662,Altemus:1973,10943.503999999999,6730.1,82.264,4131.14,0.0,10943.503999999999,0.8734138334485921
26,56,0.2498,140.0,0.11087,9465.54646,250.5723142,Altemus:1973,10285.756,6482.683999999999,120.79599999999998,3682.328,0.0,10285.756,0.9202577292325426
26,56,0.2498,140.0,0.12144,8996.86672,233.5663698,Altemus:1973,8944.988,5794.255999999999,195.31199999999995,2955.4199999999996,0.0,8944.988,1.0057997528895513
26,56,0.2498,140.0,0.13205,8159.46792,230.769574,Altemus:1973,7300.539999999998,4840.3679999999995,300.664,2159.5080000000003,0.0,7300.539999999998,1.1176526558309388
