qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,7.68641,0.16856,0.24224,-6.351479274431,-121710491700.45572,10116861490.079409
2.783,7.68592,0.16957,0.24324,-6.349112728431001,-121472761201.01662,10097058677.520735
2.783,7.68544,0.17057,0.24424,-6.346756182430999,-121236438829.1676,10077373233.200336
2.783,7.68495,0.17158,0.24524,-6.344389636431,-120999518325.082,10057638037.238695
2.783,7.68446,0.17258,0.24624,-6.342023090431,-120763002786.32507,10037936646.715288
2.783,7.68396,0.17359,0.24724,-6.339646544431,-120525894773.23996,10018185976.644335
2.783,7.68347,0.17459,0.24824,-6.337279998431,-120290189091.52788,9998552190.531557
2.783,7.68297,0.1756,0.24924,-6.334903452431,-120053893163.54918,9978869310.648243
2.783,7.68247,0.1766,0.25024,-6.332526906431,-119818003237.42499,9959220322.300016
2.783,7.68197,0.17761,0.25124,-6.330150360430999,-119582518715.44626,9939605175.48475
2.783,7.68146,0.17861,0.25224,-6.327763814431,-119346450689.61945,9919941497.407215
2.783,7.68096,0.17961,0.25324,-6.325387268430999,-119111776885.31116,9900394025.769882
2.783,7.68045,0.18062,0.25424,-6.323000722431001,-118876521786.67607,9880798207.095018
2.783,7.67994,0.18162,0.25524,-6.320614176431,-118641673102.41528,9861236313.850132
2.783,7.67943,0.18263,0.25624,-6.318227630431,-118407230230.95503,9841708295.710442
2.783,7.67892,0.18363,0.25724,-6.315841084431,-118173192571.46326,9822214102.413353
2.783,7.6784,0.18464,0.25824,-6.313444538431,-117938581415.33945,9802672212.555264
2.783,7.67788,0.18564,0.25924,-6.311047992431,-117704377662.05635,9783164330.203194
2.783,7.67736,0.18665,0.26024,-6.308651446431,-117470580705.451,9763690404.649015
2.783,7.67684,0.18765,0.26124,-6.306254900431,-117237189940.11183,9744250385.247572
2.783,7.67632,0.18866,0.26224,-6.303858354431,-117004204761.37773,9724844221.416632
2.783,7.67579,0.18966,0.26324,-6.3014518084310005,-116770654932.11476,9705391098.893295
2.783,7.67527,0.19067,0.26424,-6.299055262431001,-116538480801.68663,9686052635.449297
2.783,7.67474,0.19167,0.26524,-6.296648716431,-116305744189.3099,9666667394.110588
2.783,7.67421,0.19268,0.26624,-6.2942421704310005,-116073414118.98282,9647316087.657291
2.783,7.67367,0.19368,0.26724,-6.2918256244310005,-115840527106.27382,9627918465.487911
2.783,7.67314,0.19469,0.26824,-6.289419078431,-115609009978.40543,9608635016.651693
2.783,7.6726,0.19569,0.26924,-6.287002532431,-115376938061.4307,9589305431.615376
2.783,7.67206,0.1967,0.27024,-6.284585986431,-115145273617.54042,9570009858.737099
2.783,7.67152,0.19771,0.27124,-6.282169440431,-114914016033.72827,9550748246.737787
2.783,7.67098,0.19871,0.27224,-6.279752894431001,-114683164697.75641,9531520544.402763
2.783,7.67043,0.19972,0.27324,-6.277326348431,-114451766224.0416,9512247344.088356
2.783,7.66988,0.20072,0.27424,-6.274899802430999,-114220776132.48619,9493008231.367355
2.783,7.66933,0.20173,0.27524,-6.272473256431001,-113990193805.55374,9473803154.582289
2.783,7.66878,0.20273,0.27624,-6.270046710431,-113760018626.48521,9454632062.140846
2.783,7.66823,0.20374,0.27724,-6.267620164431,-113530249979.2994,9435494902.51593
2.783,7.66767,0.20474,0.27824,-6.265183618431,-113299942864.70773,9416312968.060831
2.783,7.66711,0.20575,0.27924,-6.262747072431,-113070044397.26535,9397165142.756529
2.783,7.66656,0.20675,0.28024,-6.260320526430999,-112841494990.5605,9378129751.26486
2.783,7.66599,0.20776,0.28124,-6.257873980431,-112611470919.54242,9358971611.790562
