Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.2211,180,0.0565,4461.5,1.44794,0.010086294,Hotta:1984
26,56,0.2211,180,0.0664,5332.5,1.4196,0.013127051,Hotta:1984
26,56,0.2211,180,0.0764,5796.5,1.46468,0.013456396,Hotta:1984
26,56,0.2211,180,0.0863,5760.7,1.56578,0.016143871,Hotta:1984
26,56,0.2211,180,0.0963,5295.6,1.69952,0.016806405,Hotta:1984
26,56,0.2211,180,0.1062,4563.1,1.93071,0.02081918,Hotta:1984
26,56,0.2211,180,0.1161,3719.7,2.19104,0.019894077,Hotta:1984
26,56,0.2211,180,0.1261,2881.4,2.40855,0.024293746,Hotta:1984
26,56,0.2211,180,0.136,2140.1,2.84099,0.03971777,Hotta:1984
26,56,0.2211,180,0.1459,1518.2,3.33289,0.092873139,Hotta:1984
26,56,0.2211,180,0.1559,1014.3,4.36754,0.13506852,Hotta:1984
26,56,0.2211,180,0.1658,627.05,6.47476,0.231241528,Hotta:1984
26,56,0.2251,160,0.0332,2150,1.66428,0.033208837,Altemus:1973
26,56,0.2251,160,0.0437,3736.1,1.32866,0.023336099,Altemus:1973
26,56,0.2251,160,0.0543,6112.6,1.06514,0.016910971,Altemus:1973
26,56,0.2251,160,0.0649,7941.7,0.9697,0.014698364,Altemus:1973
26,56,0.2251,160,0.0754,9210.3,0.96908,0.01416892,Altemus:1973
26,56,0.2251,160,0.086,9790.4,0.9987,0.014585717,Altemus:1973
26,56,0.2251,160,0.0966,9735.5,1.02546,0.015564686,Altemus:1973
26,56,0.2251,160,0.1073,9212.4,1.05591,0.017128001,Altemus:1973
26,56,0.2251,160,0.1174,8442.1,1.03562,0.018827069,Altemus:1973
26,56,0.2251,160,0.1287,7447,0.96111,0.020919833,Altemus:1973
26,56,0.2251,160,0.1393,6479.2,0.93609,0.023916533,Altemus:1973
26,56,0.2251,160,0.1499,5547.4,0.93303,0.02873959,Altemus:1973
26,56,0.2251,160,0.1603,4709.3,1.01873,0.036799524,Altemus:1973
26,56,0.24,140,0.035,2314.2,1.655,0.05617492,Meziani:1984is
26,56,0.24,140,0.045,3843.6,1.37892,0.047611614,Meziani:1984is
26,56,0.24,140,0.055,6210.1,1.08211,0.038163637,Meziani:1984is
26,56,0.24,140,0.065,8096.6,0.97448,0.03705259,Meziani:1984is
26,56,0.24,140,0.075,9526.1,0.96997,0.03821081,Meziani:1984is
26,56,0.24,140,0.085,10354,0.99478,0.040757195,Meziani:1984is
26,56,0.24,140,0.095,10571,1.0122,0.04398827,Meziani:1984is
26,56,0.24,140,0.105,10286,1.01108,0.047443127,Meziani:1984is
26,56,0.24,140,0.115,9654,1.03584,0.052206339,Meziani:1984is
26,56,0.24,140,0.125,8821.9,0.96691,0.052483025,Meziani:1984is
26,56,0.24,140,0.135,7903.6,0.91351,0.054405587,Meziani:1984is
26,56,0.24,140,0.145,6973.9,0.81016,0.053771921,Meziani:1984is
26,56,0.24,140,0.155,6088.9,0.75383,0.055675081,Meziani:1984is
26,56,0.2356,180,0.0368,1609.6,1.8079,0.027957256,Hotta:1984
26,56,0.2356,180,0.0468,2353.3,1.67424,0.024221306,Hotta:1984
26,56,0.2356,180,0.0567,3236.9,1.52615,0.018536254,Hotta:1984
26,56,0.2356,180,0.0666,4123.8,1.42829,0.01721713,Hotta:1984
26,56,0.2356,180,0.0765,4810.4,1.44063,0.015383336,Hotta:1984
26,56,0.2356,180,0.0864,5136,1.53232,0.016744548,Hotta:1984
26,56,0.2356,180,0.0964,5056.3,1.64745,0.016612938,Hotta:1984
26,56,0.2356,180,0.1063,4642.1,1.77506,0.01723358,Hotta:1984
26,56,0.2356,180,0.1162,4017.1,2.03381,0.016429763,Hotta:1984
26,56,0.2356,180,0.1261,3305.7,2.35654,0.026318178,Hotta:1984
26,56,0.2356,180,0.136,2604.1,2.59975,0.030720786,Hotta:1984
26,56,0.2356,180,0.146,1965.4,2.92561,0.039177776,Hotta:1984
26,56,0.2356,180,0.1559,1428.3,3.57068,0.112021284,Hotta:1984
26,56,0.2356,180,0.1658,989.94,4.91949,0.172737742,Hotta:1984
26,56,0.2356,180,0.1757,642.76,7.51447,0.295600224,Hotta:1984
26,56,0.24,60,0.015,113520,1.57681,0.051180409,Meziani:1984is
26,56,0.24,60,0.025,148080,1.2966,0.043422474,Meziani:1984is
26,56,0.24,60,0.035,160120,1.18036,0.041843617,Meziani:1984is
26,56,0.24,60,0.045,153010,1.28096,0.047251814,Meziani:1984is
26,56,0.24,60,0.055,134330,1.42932,0.054492667,Meziani:1984is
26,56,0.24,60,0.065,111560,1.39835,0.059340265,Meziani:1984is
26,56,0.24,60,0.075,89566,1.39562,0.066543108,Meziani:1984is
26,56,0.24,60,0.085,70524,1.39527,0.07685327,Meziani:1984is
26,56,0.24,60,0.095,54926,1.15246,0.08120016,Meziani:1984is
26,56,0.24,60,0.105,42495,1.01659,0.106130133,Meziani:1984is
26,56,0.24,60,0.115,32733,1.02038,0.16344362,Meziani:1984is
26,56,0.2498,140,0.0423,2347.4,1.6546,0.026024964,Altemus:1973
26,56,0.2498,140,0.0581,5421.9,1.0597,0.014373744,Altemus:1973
26,56,0.2498,140,0.0739,8014.3,0.95592,0.013620653,Altemus:1973
26,56,0.2498,140,0.0897,9525.4,0.98128,0.013341172,Altemus:1973
26,56,0.2498,140,0.1003,9790,0.96303,0.013595506,Altemus:1973
26,56,0.2498,140,0.1109,9558.4,0.97681,0.014529628,Altemus:1973
26,56,0.2498,140,0.1214,8983,0.98791,0.013776021,Altemus:1973
26,56,0.2498,140,0.1321,8207.9,0.98057,0.017551383,Altemus:1973
26,56,0.2498,140,0.1427,7348.6,0.88899,0.019048526,Altemus:1973
26,56,0.2498,140,0.1533,6479.2,0.8666,0.021610693,Altemus:1973
26,56,0.2498,140,0.1639,5663.2,0.77424,0.024223054,Altemus:1973
26,56,0.2498,140,0.1746,4948.6,0.86697,0.030535909,Altemus:1973
26,56,0.2498,140,0.1852,4387.1,0.93691,0.036101297,Altemus:1973
26,56,0.2503,160,0.042,1487.9,1.79965,0.046901673,Altemus:1973
26,56,0.2503,160,0.0507,2065.1,1.73251,0.040058109,Altemus:1973
26,56,0.2503,160,0.0592,3760.8,1.19198,0.021246011,Altemus:1973
26,56,0.2503,160,0.0671,4939,1.06351,0.01743774,Altemus:1973
26,56,0.2503,160,0.0747,5975.4,1.02751,0.015947886,Altemus:1973
26,56,0.2503,160,0.0821,6823.8,1.01445,0.015183622,Altemus:1973
26,56,0.2503,160,0.0891,7448.5,1.0104,0.014858025,Altemus:1973
26,56,0.2503,160,0.0957,7837.4,0.98411,0.014665578,Altemus:1973
26,56,0.2503,160,0.1017,8033.1,1.00727,0.014969314,Altemus:1973
26,56,0.2503,160,0.1089,8078.7,0.97576,0.015228935,Altemus:1973
26,56,0.2503,160,0.1161,7952.4,1.01967,0.016169961,Altemus:1973
26,56,0.2503,160,0.1233,7692.1,0.95809,0.016633949,Altemus:1973
26,56,0.2503,160,0.1304,7335.3,0.97914,0.01785612,Altemus:1973
26,56,0.2503,160,0.1376,6913,0.95102,0.01896427,Altemus:1973
26,56,0.2503,160,0.1469,6320.7,0.93825,0.020910659,Altemus:1973
26,56,0.2503,160,0.1572,5646.8,0.83499,0.02279167,Altemus:1973
26,56,0.2503,160,0.1674,4999.2,0.81891,0.026170187,Altemus:1973
26,56,0.2503,160,0.1777,4421.3,0.94741,0.028769819,Altemus:1973
26,56,0.2503,160,0.1879,3963.5,1.08717,0.038932761,Altemus:1973
26,56,0.2497,90,0.0232,12179,1.25158,0.01305608,Altemus:1973
26,56,0.2497,90,0.0334,19626,1.01926,0.009595435,Altemus:1973
26,56,0.2497,90,0.0437,26262,0.93119,0.008182545,Altemus:1973
26,56,0.2497,90,0.0539,30571,0.95721,0.007923195,Altemus:1973
26,56,0.2497,90,0.0642,32277,0.95895,0.008001983,Altemus:1973
26,56,0.2497,90,0.0744,31660,1.04536,0.00871952,Altemus:1973
26,56,0.2497,90,0.0847,29418,1.12265,0.009735876,Altemus:1973
26,56,0.2497,90,0.0949,26317,1.19391,0.01804537,Altemus:1973
26,56,0.2497,90,0.1052,22914,1.06005,0.01490748,Altemus:1973
26,56,0.2497,90,0.1211,17902,0.96107,0.022868395,Altemus:1973
26,56,0.2497,90,0.1309,15188,0.93172,0.020526073,Altemus:1973
26,56,0.2497,90,0.1416,12597,0.95166,0.030743034,Altemus:1973
26,56,0.2497,90,0.1514,10604,0.95266,0.035961901,Altemus:1973
26,56,0.2497,90,0.1576,9555.8,0.96502,0.048218883,Altemus:1973
26,56,0.2497,90,0.1638,8661.4,0.9355,0.06887801,Altemus:1973
26,56,0.2497,90,0.1699,7934.2,1.08001,0.10326813,Altemus:1973
26,56,0.2497,90,0.1762,7370.8,1.30185,0.15770337,Altemus:1973
26,56,0.2497,90,0.1823,6991.6,1.40982,0.238285943,Altemus:1973
26,56,0.2497,90,0.1885,6782.9,1.9356,0.358357045,Altemus:1973
26,56,0.28,140,0.045,1102,1.85118,0.059800363,Meziani:1984is
26,56,0.28,140,0.055,1620.5,1.78957,0.059117556,Meziani:1984is
26,56,0.28,140,0.065,3089.9,1.21687,0.042072559,Meziani:1984is
26,56,0.28,140,0.075,4394.2,1.11511,0.038687361,Meziani:1984is
26,56,0.28,140,0.085,5611.1,1.03188,0.036891162,Meziani:1984is
26,56,0.28,140,0.095,6621.3,1.03907,0.037605908,Meziani:1984is
26,56,0.28,140,0.105,7314,0.99672,0.038009297,Meziani:1984is
26,56,0.28,140,0.115,7651.7,1.01938,0.040513873,Meziani:1984is
26,56,0.28,140,0.125,7667.2,1.04862,0.043823038,Meziani:1984is
26,56,0.28,140,0.135,7431.5,1.0294,0.046424006,Meziani:1984is
26,56,0.28,140,0.145,7025,0.99217,0.048967972,Meziani:1984is
26,56,0.28,140,0.155,6519.5,0.9648,0.051384309,Meziani:1984is
26,56,0.28,140,0.165,5972.3,0.88408,0.050399344,Meziani:1984is
26,56,0.28,140,0.175,5429.6,0.84352,0.052121703,Meziani:1984is
26,56,0.28,140,0.185,4928.7,0.78925,0.05356382,Meziani:1984is
26,56,0.28,140,0.195,4507,0.75882,0.05702241,Meziani:1984is
26,56,0.28,60,0.015,61543,1.36815,0.040784492,Meziani:1984is
26,56,0.28,60,0.025,89877,1.13488,0.033156425,Meziani:1984is
26,56,0.28,60,0.035,108960,1.00954,0.031020558,Meziani:1984is
26,56,0.28,60,0.045,116060,0.99948,0.032052387,Meziani:1984is
26,56,0.28,60,0.055,112630,1.06544,0.036047234,Meziani:1984is
