Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.2994,160,0.1909,3440,160,Altemus:1973
26,56,0.2994,160,0.2063,3240,170,Altemus:1973
26,56,0.3208,90,0.0233,3830,128,Altemus:1973
26,56,0.3208,90,0.0342,6230,178,Altemus:1973
26,56,0.3208,90,0.0443,8220,219,Altemus:1973
26,56,0.3208,90,0.055,10900,272,Altemus:1973
26,56,0.3208,90,0.0653,13000,318,Altemus:1973
26,56,0.3208,90,0.076,14600,355,Altemus:1973
26,56,0.3208,90,0.0865,16400,425,Altemus:1973
26,56,0.3208,90,0.0971,17400,435,Altemus:1973
26,56,0.3208,90,0.1075,17700,459,Altemus:1973
26,56,0.3208,90,0.1182,17800,480,Altemus:1973
26,56,0.3208,90,0.1287,16800,469,Altemus:1973
26,56,0.3208,90,0.1394,15700,468,Altemus:1973
26,56,0.3208,90,0.1499,13500,435,Altemus:1973
26,56,0.3208,90,0.1605,11500,395,Altemus:1973
26,56,0.3208,90,0.1711,9940,370,Altemus:1973
26,56,0.3208,90,0.1817,8950,350,Altemus:1973
26,56,0.3208,90,0.1923,8340,357,Altemus:1973
26,56,0.3208,90,0.203,8020,337,Altemus:1973
26,56,0.3208,90,0.2136,8590,384,Altemus:1973
26,56,0.3208,90,0.2348,9270,624,Altemus:1973
26,56,0.3208,90,0.2557,12900,1690,Altemus:1973
26,56,0.3208,90,0.0052,340,38.5,Altemus:1973
26,56,0.3299,140,0.0218,20.2,4.94,Altemus:1973
26,56,0.3299,140,0.032,95.4,11.1,Altemus:1973
26,56,0.3299,140,0.0421,245,18.5,Altemus:1973
26,56,0.3299,140,0.0522,492,27.4,Altemus:1973
26,56,0.3299,140,0.0624,835,37.5,Altemus:1973
26,56,0.3299,140,0.0726,1330,50,Altemus:1973
26,56,0.3299,140,0.0828,1820,61.7,Altemus:1973
26,56,0.3299,140,0.093,2650,80.1,Altemus:1973
26,56,0.3299,140,0.1032,3160,98.6,Altemus:1973
26,56,0.3299,140,0.1135,3810,109,Altemus:1973
26,56,0.3299,140,0.1237,4540,131,Altemus:1973
26,56,0.3299,140,0.134,4810,135,Altemus:1973
26,56,0.3299,140,0.1442,5110,146,Altemus:1973
26,56,0.3299,140,0.1545,5360,151,Altemus:1973
