Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,nu-nuel,w2,q2,scaled_sigtot_Fe56,sigqe,sigie,sigmec,nuccstot,signonuc,,ratio
26,56,0.3488,90,0.17346,8048.8,200.93,Altemus:1973,0.1753,90,0.1735,0.166,1.0835,0.1223,7780.708,5291.364,880.36,1609.036,0,7780.708,,1.03445599
26,56,0.3488,90,0.18373,7700,200.29,Altemus:1973,0.1651,90,0.1837,0.1763,1.11,0.1152,6820.164,4182.1,1228.396,1409.72,0,6820.164,,1.129005109
26,56,0.3488,90,0.19406,7195,199.62,Altemus:1973,0.1547,90,0.1941,0.1866,1.1366,0.1079,6227.312,3242.2,1668.888,1316.276,0,6227.312,,1.155394173
26,56,0.3488,90,0.2044,6963.9,248.64,Altemus:1973,0.1444,90,0.2044,0.1969,1.1632,0.1007,5957.952,2464.436,2215.2,1278.368,0,5957.952,,1.168841239
26,56,0.3488,90,0.2146,7408.3,371.53,Altemus:1973,0.1342,90,0.2146,0.2071,1.1894,0.0936,5939.596,1838.2,2846.324,1255.072,0,5939.596,,1.247273384
26,56,0.3488,90,0.225,8180.5,2480.9,Altemus:1973,0.1238,90,0.225,0.2175,1.2162,0.0864,6200.272,1324.544,3655.808,1219.972,0,6200.272,,1.319377601
26,56,0.3488,90,0.23526,8849.6,300.22,Altemus:1973,0.1135,90,0.2353,0.2278,1.2426,0.0792,6675.916,924.144,4590.196,1161.576,0,6675.916,,1.325600861
26,56,0.3488,90,0.24553,9812.9,379.11,Altemus:1973,0.1033,90,0.2455,0.2381,1.2691,0.072,7337.72,614.172,5647.98,1075.568,0,7337.72,,1.337322765
26,56,0.3488,90,0.2558,11062,632.04,Altemus:1973,0.093,90,0.2558,0.2483,1.2955,0.0649,8149.804,382.2,6804.824,962.78,0,8149.804,,1.357333256
26,56,0.3488,90,0.26613,11156,827.57,Altemus:1973,0.0827,90,0.2661,0.2587,1.3221,0.0577,9044.932,215.748,8002.592,826.592,0,9044.932,,1.233397885
26,56,0.3488,90,0.27337,12297,1205.1,Altemus:1973,0.0754,90,0.2734,0.2659,1.3407,0.0526,9684.376,133.12,8830.12,721.136,0,9684.376,,1.269777216
26,56,0.3488,90,0.28048,13254,1829.2,Altemus:1973,0.0683,90,0.2805,0.273,1.359,0.0477,10288.252,75.192,9600.188,612.924,0,10288.252,,1.28826549
26,56,0.3726,90,0.01074,186.57,12.021,Altemus:1973,0.3619,90,0.0107,0.0023,0.6309,0.2697,0,0,0,0,0,0,,#DIV/0!
26,56,0.3726,90,0.04391,2826.2,52.68,Altemus:1973,0.3287,90,0.0439,0.0354,0.7178,0.2449,2274.324,1446.9,0,709.54,117.884,2156.44,,1.24265496
26,56,0.3726,90,0.07438,6875,86.861,Altemus:1973,0.2982,90,0.0744,0.0659,0.7977,0.2222,7479.68,4980.352,10.348,2486.38,2.6,7477.08,,0.919156969
26,56,0.3726,90,0.10499,10943,12.905,Altemus:1973,0.2676,90,0.105,0.0965,0.878,0.1994,12749.1,8578.388,46.384,4124.38,0,12749.1,,0.858335098
26,56,0.3726,90,0.13572,12134,153.9,Altemus:1973,0.2369,90,0.1357,0.1272,0.9585,0.1765,13303.992,9307.74,171.496,3824.756,0,13303.992,,0.912057073
26,56,0.3726,90,0.15619,11388,178.74,Altemus:1973,0.2164,90,0.1562,0.1477,1.0122,0.1613,10723.18,7638.384,352.924,2731.872,0,10723.18,,1.0619984
26,56,0.3726,90,0.17666,9232.7,177.85,Altemus:1973,0.1959,90,0.1767,0.1682,1.0659,0.146,7875.712,5449.184,679.172,1747.304,0,7875.712,,1.172300358
26,56,0.3726,90,0.1972,6690.8,176.88,Altemus:1973,0.1754,90,0.1972,0.1887,1.1197,0.1307,6121.18,3570.632,1278.992,1271.556,0,6121.18,,1.093057221
26,56,0.3726,90,0.2178,6473,163.26,Altemus:1973,0.1548,90,0.2178,0.2093,1.1737,0.1154,5589.948,2189.46,2232.568,1167.92,0,5589.948,,1.157971416
26,56,0.3726,90,0.23833,7381.2,199.56,Altemus:1973,0.1343,90,0.2383,0.2299,1.2275,0.1001,6044.012,1243.06,3654.664,1146.288,0,6044.012,,1.221241784
26,56,0.3726,90,0.25893,8520.6,256.42,Altemus:1973,0.1137,90,0.2589,0.2505,1.2815,0.0847,7210.008,623.792,5530.148,1056.068,0,7210.008,,1.181774001
26,56,0.3726,90,0.27947,9806.2,382.18,Altemus:1973,0.0931,90,0.2795,0.271,1.3354,0.0694,8780.304,254.488,7657.156,868.66,0,8780.304,,1.116840601
26,56,0.3726,90,0.28987,10328,585.07,Altemus:1973,0.0827,90,0.2899,0.2814,1.3627,0.0617,9582.56,140.972,8698.872,742.716,0,9582.56,,1.077791321
26,56,0.3726,90,0.30013,11077,930.95,Altemus:1973,0.0725,90,0.3001,0.2917,1.3896,0.054,10277.592,67.496,9604.556,605.592,0,10277.592,,1.077781644
26,56,0.3726,90,0.3104,12226,1650.7,Altemus:1973,0.0622,90,0.3104,0.3019,1.4165,0.0464,10804.3,24.752,10316.02,463.476,0,10804.3,,1.131586498
26,56,0.1003,140,0.00189,30327,376.59,Altemus:1973,0.0984,140,0.0019,0.0007,0.849,0.0349,0.364,0,0,0,0.364,0,,83315.93407
26,56,0.1003,140,0.00448,33062,567.77,Altemus:1973,0.0958,140,0.0045,0.0033,0.8548,0.0339,4.004,0,0,0,4.004,0,,8257.242757
26,56,0.1003,140,0.00913,25373,446.33,Altemus:1973,0.0912,140,0.0091,0.008,0.8652,0.0323,35196.72,0,0,0,35196.72,0,,0.720891038
26,56,0.1003,140,0.01463,32641,570.59,Altemus:1973,0.0857,140,0.0146,0.0135,0.8775,0.0304,6396.208,0,0,0,6396.208,0,,5.103179884
26,56,0.1003,140,0.01992,34469,627.34,Altemus:1973,0.0804,140,0.0199,0.0188,0.8893,0.0285,62571.964,3857.256,0,409.396,58305.312,4266.652,,0.550869715
26,56,0.1003,140,0.02519,39589,719.12,Altemus:1973,0.0751,140,0.0252,0.024,0.901,0.0266,33570.68,18124.756,0,1239.732,14206.244,19364.488,,1.179273104
26,56,0.1003,140,0.03047,42543,810.37,Altemus:1973,0.0698,140,0.0305,0.0293,0.9128,0.0247,33620.808,28473.12,0,1634.932,3512.704,30108.104,,1.265377084
26,56,0.1003,140,0.03576,45453,936.34,Altemus:1973,0.0645,140,0.0358,0.0346,0.9246,0.0229,36747.88,32883.812,0,1698.06,2166.008,34581.872,,1.236887679
26,56,0.1003,140,0.04105,45535,1076.8,Altemus:1973,0.0592,140,0.0411,0.0399,0.9364,0.021,34085.584,31581.524,0,1563.172,940.888,33144.696,,1.335902005
26,56,0.1305,140,0.00314,3457.5,122.72,Altemus:1973,0.1274,140,0.0031,0.0012,0.8275,0.0587,0.26,0,0,0,0.26,0,,13298.07692
26,56,0.1305,140,0.0062,1001.5,114.38,Altemus:1973,0.1243,140,0.0062,0.0042,0.8347,0.0573,1418.56,0,0,0,1418.56,0,,0.705997631
26,56,0.1305,140,0.00886,9536.9,155.88,Altemus:1973,0.1216,140,0.0089,0.0069,0.8409,0.0561,10.816,0,0,0,10.816,0,,881.7400148
